sku_id,category,closing_stock,lead_time_days,predicted_next_day_demand,projected_demand_leadtime,cover_ratio,risk_flag,confidence
SKU-2001,Beverages,0.0,7,326.21938775510205,2283.5,0.0,STOCKOUT_RISK,"low (new SKU, category-average fallback)"
SKU-2000,Snacks,0.0,7,256.48214285714283,1795.4,0.0,STOCKOUT_RISK,"low (new SKU, category-average fallback)"
SKU-2002,Flour,0.0,7,254.35714285714286,1780.5,0.0,STOCKOUT_RISK,"low (new SKU, category-average fallback)"
SKU-1000,Snacks,0.0,7,108.05979090190141,756.4,0.0,STOCKOUT_RISK,normal
SKU-1010,Snacks,112.0,3,203.34680379098083,610.0,0.18,STOCKOUT_RISK,normal
SKU-1022,Snacks,235.0,3,207.41417131630854,622.2,0.38,STOCKOUT_RISK,normal
SKU-1014,Snacks,1120.0,7,252.25166868513227,1765.8,0.63,STOCKOUT_RISK,normal
SKU-1008,Sugar,292.0,5,89.76899090479812,448.8,0.65,STOCKOUT_RISK,normal
SKU-1002,Sugar,659.0,3,303.2313398182915,909.7,0.72,STOCKOUT_RISK,normal
SKU-1018,Flour,3476.0,14,329.3598912774253,4611.0,0.75,STOCKOUT_RISK,normal
SKU-1023,Flour,1325.0,7,248.2943897045948,1738.1,0.76,STOCKOUT_RISK,normal
SKU-1013,Pasta,4395.0,10,541.5853282566886,5415.9,0.81,STOCKOUT_RISK,normal
SKU-1020,Pasta,5757.0,14,476.9218698398288,6676.9,0.86,STOCKOUT_RISK,normal
SKU-1015,Pasta,2957.0,7,441.1390529401833,3088.0,0.96,STOCKOUT_RISK,normal
SKU-1001,Beverages,2232.0,5,455.14881924582386,2275.7,0.98,STOCKOUT_RISK,normal
SKU-1011,Sugar,3373.0,14,210.82981971992947,2951.6,1.14,HEALTHY,normal
SKU-1019,Snacks,8732.0,14,543.4323125986494,7608.1,1.15,HEALTHY,normal
SKU-1016,Snacks,4620.0,14,284.8879797912432,3988.4,1.16,HEALTHY,normal
SKU-1007,Sugar,9613.0,14,551.0747822484982,7715.0,1.25,HEALTHY,normal
SKU-1005,Pasta,1303.0,10,94.02561365147095,940.3,1.39,HEALTHY,normal
SKU-1021,Beverages,6481.0,10,450.1618639868716,4501.6,1.44,HEALTHY,normal
SKU-1009,Beverages,9874.0,14,452.91265244648577,6340.8,1.56,HEALTHY,normal
SKU-1017,Beverages,1691.0,3,333.68517842767295,1001.1,1.69,HEALTHY,normal
SKU-1012,Beverages,10771.0,14,446.84732481127975,6255.9,1.72,HEALTHY,normal
SKU-1024,Flour,3289.0,7,264.831302625773,1853.8,1.77,HEALTHY,normal
SKU-1004,Beverages,2895.0,7,208.4839950582314,1459.4,1.98,HEALTHY,normal
SKU-1003,Beverages,3047.0,7,207.75362943872634,1454.3,2.1,OVERSTOCK,normal
SKU-1006,Sugar,10779.0,10,502.4386658499355,5024.4,2.15,OVERSTOCK,normal
